1366 Technologies	https://arpa-e.energy.gov/?q=slick-sheet-project/cost-effective-silicon-wafers-solar-cells	Cost-Effective Silicon Wafers for Solar Cells	Bedford, MA	$3,999,828	ALUMNI
24M Technologies 	https://arpa-e.energy.gov/?q=slick-sheet-project/lithium-electrode-sub-assemblies	Lithium Electrode Sub-Assemblies	Cambridge, MA	$3,484,674	ACTIVE
24M Technologies	https://arpa-e.energy.gov/?q=slick-sheet-project/semi-solid-flowable-battery-electrodes	Semi-Solid Flowable Battery Electrodes	Cambridge, MA	$5,975,331	ALUMNI
3M	https://arpa-e.energy.gov/?q=slick-sheet-project/polymeric-anion-exchange-membranes	Polymeric Anion Exchange Membranes	St. Paul, MN	$2,300,000	ACTIVE
ABB	https://arpa-e.energy.gov/?q=slick-sheet-project/magnetic-energy-storage-system	Magnetic Energy Storage System	Cary, NC	$4,580,020	ALUMNI
Abengoa Solar	https://arpa-e.energy.gov/?q=slick-sheet-project/conversion-tower-dispatchable-solar-power	Conversion Tower for Dispatchable Solar Power	Lakewood, CO	$3,875,104	ALUMNI
Accio Energy, Inc.	https://arpa-e.energy.gov/?q=slick-sheet-project/new-option-wind-energy	New Option for Wind Energy	Ann Arbor, MI	$4,894,904	CANCELLED
Achates Power, Inc.	https://arpa-e.energy.gov/?q=slick-sheet-project/efficient-engine-design	Efficient Engine Design	San Diego, CA	$9,002,985	ACTIVE
ADMA Products	https://arpa-e.energy.gov/?q=slick-sheet-project/membrane-dehumidifier	Membrane Dehumidifier	Hudson, OH	$3,380,389	ALUMNI
Advanced Cooling Technologies, Inc. (ACT)	https://arpa-e.energy.gov/?q=slick-sheet-project/cool-storage-supplemental-cooling	Cool Storage for  Supplemental Cooling	Lancaster, PA	$3,202,001	ACTIVE
Aeris Technologies 	https://arpa-e.energy.gov/?q=slick-sheet-project/methane-leak-detection-system-0	Methane Leak Detection System	Redwood City, CA	$2,494,131	ACTIVE
Aerodyne Research, Inc. 	https://arpa-e.energy.gov/?q=slick-sheet-project/single-cylinder-two-stroke-free-piston-internal-combustion-generator	Single-Cylinder Two-Stroke Free-Piston Internal Combustion Generator	Billerica, MA	$2,555,590	ACTIVE
Agrivida	https://arpa-e.energy.gov/?q=slick-sheet-project/engineering-enzymes-energy-crops	Engineering Enzymes in Energy Crops	Medford, MA	$6,562,723	ALUMNI
Air Squared Inc. 	https://arpa-e.energy.gov/?q=slick-sheet-project/high-efficiency-generator-system	High Efficiency Generator System	Broomfield, CO	$3,225,000	ACTIVE
Alcoa	https://arpa-e.energy.gov/?q=slick-sheet-project/aluminum-electrolytic-cell-heat-recovery	Aluminum Electrolytic Cell with Heat Recovery	Pittsburgh, PA	$5,809,354	ACTIVE
Algaeventure Systems (AVS)	https://arpa-e.energy.gov/?q=slick-sheet-project/fuel-algae	Fuel from Algae	Marysville, OH	$5,992,676	ALUMNI
Alliant Techsystems (ATK)	https://arpa-e.energy.gov/?q=slick-sheet-project/supersonic-technology-co2-capture	Supersonic Technology for CO2 Capture	Minneapolis, MN	$2,684,881	ALUMNI
Allylix	https://arpa-e.energy.gov/?q=slick-sheet-project/high-performance-aviation-fuels-terpenes	High Performance Aviation Fuels from Terpenes	Lexington, KY	$467,805	ALUMNI
Alveo Energy	https://arpa-e.energy.gov/?q=slick-sheet-project/prussian-blue-dye-batteries	Prussian Blue Dye Batteries	Palo Alto, CA	$4,599,935	ALUMNI
