Achates Power, Inc.	https://arpa-e.energy.gov/?q=slick-sheet-project/efficient-engine-design	Efficient Engine Design	San Diego, CA	$9,002,985	ACTIVE
Aeris Technologies 	https://arpa-e.energy.gov/?q=slick-sheet-project/methane-leak-detection-system-0	Methane Leak Detection System	Redwood City, CA	$2,494,131	ACTIVE
Alveo Energy	https://arpa-e.energy.gov/?q=slick-sheet-project/prussian-blue-dye-batteries	Prussian Blue Dye Batteries	Palo Alto, CA	$4,599,935	ALUMNI
Applied Materials	https://arpa-e.energy.gov/?q=slick-sheet-project/low-cost-silicon-wafers-solar-modules	Low-Cost Silicon Wafers for Solar Modules	Santa Clara, CA	$4,958,074	ALUMNI
Applied Materials	https://arpa-e.energy.gov/?q=slick-sheet-project/new-electrode-manufacturing-process-equipment	New Electrode Manufacturing Process Equipment	Santa Clara, CA	$4,373,990	ALUMNI
Arcadia Biosciences	https://arpa-e.energy.gov/?q=slick-sheet-project/vegetable-oil-leaves-and-stems	Vegetable Oil from Leaves and Stems	Davis, CA	$1,454,581	ALUMNI
AutoGrid Systems	https://arpa-e.energy.gov/?q=slick-sheet-project/integration-renewables-demand-management	Integration of Renewables via Demand Management	Redwood Shores, CA	$3,465,385	ALUMNI
Avogy	https://arpa-e.energy.gov/?q=slick-sheet-project/vertical-gan-transistors	Vertical GaN Transistors	San Jose, CA	$3,225,000	CANCELLED
Bio Architecture Lab	https://arpa-e.energy.gov/?q=slick-sheet-project/macroalgae-butanol	Macroalgae Butanol	Berkeley, CA	$9,003,198	ALUMNI
Blackpak	https://arpa-e.energy.gov/?q=slick-sheet-project/sorbent-based-natural-gas-tank	Sorbent-Based Natural Gas Tank	San Francisco, CA	$5,475,000	ALUMNI
California Institute of Technology (CalTech)	https://arpa-e.energy.gov/?q=slick-sheet-project/micro-optical-tandem-luminescent-solar-concentrator	Micro-Optical Tandem Luminescent Solar Concentrator	Pasadena, CA	$2,999,594	ACTIVE
California Institute of Technology (Caltech) 	https://arpa-e.energy.gov/?q=slick-sheet-project/acoustic-wave-enhanced-catalysis	Acoustic Wave Enhanced Catalysis	Pasadena, CA	$425,000	ACTIVE
California Institute of Technology (Caltech) 	https://arpa-e.energy.gov/?q=slick-sheet-project/heating-and-compression-mechanisms-fusion	Heating and Compression Mechanisms for Fusion	Pasadena, CA	$800,000	ACTIVE
California Institute of Technology (Caltech)	https://arpa-e.energy.gov/?q=slick-sheet-project/scalable-distributed-automation-system	Scalable Distributed Automation System	Pasadena, CA	$1,350,000	ALUMNI
California Institute of Technology (CalTech)	https://arpa-e.energy.gov/?q=slick-sheet-project/improving-solar-generation-efficiency-solar-modules	Improving Solar Generation Efficiency with Solar Modules	Pasadena, CA	$2,400,000	ALUMNI
Calysta Energy	https://arpa-e.energy.gov/?q=slick-sheet-project/bioreactor-designs-rapid-fermentation	Bioreactor Designs for Rapid Fermentation	Menlo Park, CA	$797,646	ALUMNI
Ceres	https://arpa-e.energy.gov/?q=slick-sheet-project/improving-biomass-yields	Improving Biomass Yields	Thousand Oaks, CA	$5,089,144	ALUMNI
Citrine Informatics	https://arpa-e.energy.gov/?q=slick-sheet-project/machine-learning-solid-ion-conductors	Machine Learning for Solid Ion Conductors	Redwood City, CA	$499,023	ALUMNI
Codexis	https://arpa-e.energy.gov/?q=slick-sheet-project/better-enzymes-carbon-capture	Better Enzymes for Carbon Capture	Redwood City, CA	$4,657,045	ALUMNI
Cogenra Solar	https://arpa-e.energy.gov/?q=slick-sheet-project/hybrid-solar-converter-light-filtering-mirror	Hybrid Solar Converter with Light-Filtering Mirror	Mountain View, CA	$2,195,740	ALUMNI
Electric Power Research Institute (EPRI)	https://arpa-e.energy.gov/?q=slick-sheet-project/enhanced-air-cooled-heat-exchanger	Enhanced Air-Cooled Heat Exchanger	Palo Alto, CA	$3,000,000	ACTIVE
Envia Systems	https://arpa-e.energy.gov/?q=slick-sheet-project/long-range-electric-vehicle-batteries	Long-Range Electric Vehicle Batteries	Newark, CA	$3,952,876	ALUMNI
EnZinc	https://arpa-e.energy.gov/?q=slick-sheet-project/rechargeable-long-life-zinc-air-battery	Rechargeable, Long-Life, Zinc-Air Battery	San Anselmo, CA	$452,358	ALUMNI
General Atomics	https://arpa-e.energy.gov/?q=slick-sheet-project/soluble-lead-flow-battery	Soluble Lead Flow Battery	San Diego, CA	$1,986,308	ALUMNI
General Atomics	https://arpa-e.energy.gov/?q=slick-sheet-project/low-insertion-hvdc-circuit-breaker	Low-Insertion HVDC Circuit Breaker	San Diego, CA	$2,507,242	ALUMNI
Glint Photonics	https://arpa-e.energy.gov/?q=slick-sheet-project/stationary-wide-angle-concentrator-pv-system	Stationary Wide-Angle Concentrator PV System	Burlingame, CA	$2,474,999	ACTIVE
